popularity,release_date,rus,vote_average
18.4,1979-05-25,Сталкер,8.2
38.781,1971-12-19,Заводной апельсин,8.2
15.361,1957-12-17,Свидетель обвинения,8.2
36.493,1980-05-23,Сияние,8.2
16.19,1963-02-14,8½,8.2
17.766,1921-01-21,Малыш,8.2
18.835,1957-02-16,Седьмая печать,8.2
30.148,2019-09-06,Вайолет Эвергарден: Вечность и Автоматическая Кукла Памяти,8.2
30.584,2020-04-12,Mortal Kombat Legends: Месть Скорпиона,8.2
52.504,2009-08-19,Бесславные ублюдки,8.2
61.696,1977-05-25,Звездные войны,8.2
25.565,1958-05-28,Головокружение,8.2
20.871,2018-10-19,"Ненависть, которую ты даришь",8.2
41.938,2000-05-04,Гладиатор,8.2
35.029,2006-10-19,Престиж,8.2
28.034,1995-07-19,Обычные подозреваемые,8.2
45.138,1998-07-24,Спасти рядового Райана,8.2
12.187,1970-10-16,"Расследование в отношении гражданина, не вызывающего подозрений.",8.2
9.391,1945-03-15,Дети Рая,8.2
41.651,2011-08-09,Помощь,8.2
64.865,1999-03-30,Матрица,8.2
45.995,2010-02-14,Остров проклятых,8.2
27.481,2000-10-11,Памятка,8.2
23.759,2019-06-17,Портрет женщины в огне,8.2
67.946,2017-09-01,Называй Меня Своим именем,8.2
121.207,2016-10-07,Хаксоу Ридж,8.2
7.239,2019-12-26,Моя мама — персонаж 3.,8.2
11.261,1983-11-14,Триллер Майкла Джексона,8.2
13.072,2016-06-16,Пайпер,8.2
13.479,2020-11-27,Черная Красавица,8.2
4.612,2012-10-23,Авраам Линкольн: Охотник на вампиров: Великая катастрофа,8.2
78.388,2020-12-25,Душа,8.2
70.614,2019-10-01,Джокер,8.2
6.225,1975-10-24,Мои друзья,8.2
38.3,1976-02-09,Водитель такси,8.2
18.313,1927-02-06,Метрополис,8.2
17.837,2018-09-20,Капернаум,8.2
32.551,2017-11-13,Удивляться,8.2
7.707,1974-09-15,Сцены из супружеской жизни,8.2
15.299,1952-04-09,Поющие под дождем,8.2
36.306,2021-02-06,Новые Боги: Возрождение Нежи,8.2
24.711,1942-11-26,Касабланка,8.2
15.301,1954-03-31,"Сансё, судебный пристав",8.2
58.916,1983-12-09,Лицо со шрамом,8.2
29.441,2006-10-04,Отступники,8.2
15.516,1950-10-06,Всё о Еве,8.2
13.264,2019-12-24,С ясного голубого неба,8.2
7.938,1959-10-28,Великая война,8.2
6.195,2020-01-17,Я против тебя: Вендетта мистера С.,8.2
33.646,2019-12-20,Того,8.2
41.487,2012-12-25,Джанго освобожденный,8.2
13.042,1960-02-05,La Dolce Vita,8.2
34.154,2021-11-24,Вдали от дерева,8.2
20.542,2020-12-23,Отец,8.1
28.598,1987-06-26,Цельнометаллическая оболочка,8.1
16.499,1961-04-25,Ёдзимбо,8.1
11.179,1998-08-28,"Замок, акции и два дымящихся ствола",8.1
13.375,1998-11-20,Центральный вокзал,8.1
18.354,1950-08-26,Расёмон,8.1
12.747,1944-06-14,Двойная страховка,8.1
34.842,1997-12-05,«Умница Уилл Хантинг»,8.1
34.377,1992-09-02,Бешеные псы,8.1
21.837,1964-01-29,"Доктор Стрейнджлав, или Как я научился перестать волноваться и полюбить бомбу",8.1
12.971,1924-04-17,Шерлок младший,8.1
45.123,1979-05-25,Чужак,8.1
12.214,1957-12-26,Дикая земляника,8.1
11.229,2017-10-27,Айла: Дочь войны,8.1
6.986,1958-07-26,Выгодное предложение на улице Мадонны,8.1
16.33,1966-12-16,Андрей Рублев,8.1
14.203,2015-07-10,Скуби-Ду! и Kiss: Рок-н-ролльная тайна,8.1
24.472,1959-03-19,Некоторые любят погорячее,8.1
43.715,1998-06-04,Шоу Трумана,8.1
31.439,2017-01-06,Невидимый гость,8.1
16.746,1985-12-01,Анна из Зелёных холмов,8.1
9.038,2016-06-03,Бо Бернхэм: Делайте счастливыми,8.1
66.536,2017-12-14,Вместе с богами: Два мира,8.1
80.792,2021-03-18,Никто,8.1
83.572,2022-03-24,"Всё, повсюду, сразу.",8.1
19.177,2013-11-23,Сказка о принцессе Кагуе,8.1
142.401,2011-07-07,Гарри Поттер и Дары Смерти: Часть 2,8.1
138.413,2021-05-26,Круэлла,8.1
4.782,1996-01-01,И корти,8.1
16.946,1984-08-23,"Париж, Техас",8.1
5.991,2018-06-19,Ханна Гэдсби: Нанетт,8.1
13.762,2021-03-12,Бумажные жизни,8.1
15.594,1931-05-11,М,8.1
21.505,2011-09-22,Заглушенный,8.1
41.622,2019-10-25,Как приручить дракона: Возвращение домой,8.1
22.937,2000-09-29,В настроении для любви,8.1
41.533,2004-03-19,Вечное сияние чистого разума,8.1
30.593,2019-12-06,В объятиях убийцы,8.1
20.248,2012-10-25,Охота,8.1
18.698,2007-12-26,Будет кровь,8.1
6.442,1956-08-23,"Тото, Пеппино и распутница",8.1
21.068,2017-12-01,"Три билборда на окраине Эббинга, штат Миссури",8.1
39.375,2005-09-16,Гордость и предубеждение,8.1
19.495,2005-01-28,Невинные голоса,8.1
11.083,1965-04-03,Рыжая Борода,8.1
23.689,2016-11-24,Лев,8.1
17.465,2010-09-04,Пожары,8.1
15.275,1959-06-03,400 ударов,8.1
13.559,1928-04-21,Страсти Жанны д'Арк,8.1
56.153,1993-02-05,Связанные честью,8.1
10.967,1977-08-11,Особый день,8.1
16.438,1995-05-31,Нена,8.1
59.938,1991-07-03,Терминатор 2: Судный день,8.1
12.25,1975-08-02,Дерсу Узала,8.1
35.491,1968-04-02,2001: Космическая одиссея,8.1
20.113,1981-09-17,Подводная лодка,8.1
23.119,2017-08-02,Водитель такси,8.1
10.01,2003-06-22,Лучшее из молодости,8.1
14.056,1960-10-06,Рокко и его братья,8.1
13.797,1980-10-09,Человек-слон,8.1
14.174,2009-01-24,Молитвы за Бобби,8.1
44.12,2019-10-18,Кролик Джоджо,8.1
32.442,2013-09-18,Заключенные,8.1
7.267,1997-09-04,Призраки,8.1
44.613,1988-04-16,Мой сосед Тоторо,8.1
24.571,2018-02-16,"С любовью, Саймон",8.1
56.449,2008-06-22,ВАЛЛ-И,8.1
15.012,1985-06-01,Ран,8.1
9.593,1955-08-26,Патер Панчали,8.1
60.614,2016-12-10,Скрытые фигуры,8.1
23.63,2007-10-12,Элитный отряд,8.1
66.35,2022-10-21,Мой полицейский,8.1
25.22,2003-05-02,Воспоминания об убийстве,8.1
33.825,2014-02-26,Отель «Гранд Будапешт»,8.1
18.006,2018-09-30,Поверьте мне: Похищение Лизы Маквей,8.1
19.06,2021-01-29,Палмер,8.1
16.64,2017-06-22,Любящий Винсент,8.1
13.793,1948-09-06,Красные туфли,8.1
11.217,2018-09-12,На моей коже,8.1
12.975,1957-10-03,Ночи Кабирии,8.1
11.968,2021-10-14,Неудачник,8.1
16.273,2021-07-15,Эль месеро,8.1
15.218,1961-12-18,Нюрнбергский суд,8.1
35.425,2017-04-12,Одарённый,8.1
14.813,1975-03-07,Зеркало,8.1
10.619,2019-01-18,Китбулл,8.0
15.607,2015-10-16,Комната,8.0
7.886,2020-02-14,"Вентеаньера, Диворсияда и Фантастика",8.0
8.203,2012-02-15,Крутые ребята не плачут,8.0
15.439,2006-03-15,Жизни других людей,8.0
11.052,2015-06-04,Вторая Мать,8.0
11.102,2013-12-25,Доктор Кто: Время Доктора,8.0
9.808,1928-01-06,Цирк,8.0
6.656,2017-06-01,В мгновение ока,8.0
7.729,2017-08-24,Бинго: Король утра,8.0
28.999,1994-07-14,Чунцинский Экспресс,8.0
19.517,1965-12-18,За несколько долларов больше,8.0
19.075,1953-04-22,Цена страха,8.0
71.389,2021-10-14,Рон пошёл не так.,8.0
11.865,2018-09-14,"Там, где соприкасаются руки",8.0
81.478,2013-12-25,Волк с Уолл-стрит,8.0
11.259,1949-09-13,Поздняя весна,8.0
11.553,2000-10-06,Реквием по мечте,8.0
22.878,1984-09-19,Амадей,8.0
26.551,1999-09-15,Американская красота,8.0
46.776,2019-06-19,Выживание вместе с тобой,8.0
57.867,2021-01-15,Дракон желаний,8.0
17.931,2010-02-10,Меня зовут Хан.,8.0
17.859,1925-07-12,Золотая лихорадка,8.0
33.273,1982-06-25,Вещь,8.0
21.535,1973-12-25,Жало,8.0
18.009,1962-12-20,Убить пересмешника,8.0
6.664,2014-08-09,Шут,8.0
21.874,1941-04-17,Гражданин Кейн,8.0
14.98,2014-09-06,Песнь моря,8.0
412.751,2021-12-15,Человек-паук: Нет пути домой,8.0
26.963,2019-05-03,Путешествие собаки,8.0
26.854,2015-07-11,Мальчик и чудовище,8.0
7.916,1973-09-17,Иван Васильевич меняет профессию,8.0
18.851,1954-05-29,Набери М для убийства,8.0
163.432,2004-05-31,Гарри Поттер и узник Азкабана,8.0
11.639,1953-03-26,Угецу,8.0
52.61,2021-11-04,Финч,8.0
15.45,1948-01-15,Сокровища Сьерра-Мадре,8.0
11.836,1978-10-08,Осенняя соната,8.0
20.415,1978-03-09,Охотник на оленей,8.0
12.781,1926-12-25,Генерал,8.0
10.42,2009-01-31,Воздействие любви,8.0
23.896,2016-11-12,В этом уголке мира,8.0
7.625,1954-04-17,Бедность и дворянство,8.0
51.188,2014-11-14,Игра в имитацию,8.0
38.673,2021-08-11,КОДА,8.0
37.994,2018-10-24,Богемская рапсодия,8.0
11.252,1950-12-09,Молодые и проклятые,8.0
47.811,2021-09-14,Совершенно неожиданно: Скуби-Ду встречает трусливого пса Куража.,8.0
24.517,1995-11-22,Казино,8.0
8.821,1945-10-08,"Рим, Открытый город",8.0
65.251,2019-03-15,No Manches Frida 2,8.0
37.572,2019-11-13,Форд против Феррари,8.0
19.962,2010-09-14,Скуби-Ду! Лагерь ужасов,8.0
37.382,2009-06-08,Хати: история собаки,8.0
16.3,1982-07-14,Pink Floyd: The Wall,8.0
22.483,2017-11-29,Забытый,8.0
9.671,2012-11-02,Паперман,8.0
165.326,2021-12-01,Sing 2,8.0
5.52,1920-08-29,Одна неделя,8.0
25.442,2008-12-09,Гран Торино,8.0
15.616,1975-11-26,Барри Линдон,8.0
11.792,1958-12-28,Скрытая крепость,8.0
24.372,2004-08-07,Никто не знает,8.0
19.564,2004-02-05,Тэ Гук Ги: Братство войны,8.0
9.79,1957-10-12,Журавли летят,8.0
27.615,1939-12-15,Унесённые ветром,8.0
17.113,2009-08-13,Тайна в их глазах,8.0
20.858,1959-07-08,Север через Северо-Запад,8.0
11.656,2014-03-28,Его внешность,8.0
16.279,2011-12-21,Мой путь,8.0
44.461,2022-07-18,Тринадцать жизней,8.0
12.834,2007-12-21,Как звёзды на Земле,8.0
12.822,2009-05-14,Изгой на Луне,8.0
15.919,1954-06-22,На набережной,8.0
21.282,2013-01-03,"Бэтмен: Возвращение Тёмного рыцаря, часть 2",8.0
10.126,1962-05-16,Ангел истребления,8.0
13.717,1956-11-11,Мужчина сбежал,8.0
29.96,2021-04-22,Митчеллы против Машин,8.0
36.479,2019-12-25,1917,8.0
17.356,1980-11-14,Разъяренный Бык,8.0
14.875,1949-08-31,Третий человек,8.0
21.295,1962-12-11,Лоуренс Аравийский,8.0
26.237,2014-07-19,Когда Марни была там,8.0
11.331,1972-12-21,Крики и шепот,8.0
10.979,2010-12-25,Доктор Кто: Рождественская история,8.0
16.354,2013-01-23,Чудо в камере № 7,8.0
19.669,2020-10-23,Всю мою жизнь,8.0
17.701,1991-12-18,Поднимите красный фонарь,8.0
12.346,1948-03-11,Веревка,8.0
9.9,1954-09-23,Ла Страда,8.0
406.28,2022-06-11,Dragon Ball Super: Супергерой,8.0
11.525,1962-01-01,Санджуро,8.0
40.335,2003-10-10,Убить Билла: Том 1,8.0
23.037,1996-02-23,Наблюдение за поездами,8.0
12.163,1965-08-16,Операция Y и другие приключения Шурика,8.0
30.191,2009-12-23,3 идиота,8.0
17.367,1920-02-27,Кабинет доктора Калигари,8.0
67.473,2020-06-18,В шаге от цели,8.0
13.166,2016-12-21,Дангал,8.0
31.516,1986-08-02,Небесный замок,8.0
102.384,1995-10-30,История игрушек,8.0
68.011,2021-02-27,Девушка в подвале,8.0
9.804,2018-12-12,"Реми, ничей мальчик",8.0
28.793,2004-12-15,Малышка на миллион долларов,8.0
6.609,1997-12-27,Три мужчины и нога,8.0
35.69,1988-07-16,Акира,8.0
15.071,1995-01-27,Перед восходом солнца,8.0
15.713,2019-02-05,Скуби-Ду! и проклятие 13-го Призрака,8.0
27.957,2010-08-06,Перевернутый,8.0
7.045,2012-08-24,Какой прекрасный день!,8.0
41.518,2002-12-16,"Поймай меня, если сможешь",8.0
14.929,1994-05-12,Три цвета: красный,8.0
24.246,2013-10-18,12 лет рабства,8.0
94.437,2021-03-03,Райя и последний дракон,8.0
5.169,1961-12-20,Развод по-итальянски,8.0
16.085,1902-04-17,Путешествие на Луну,8.0
22.217,2011-03-27,Убить Билла: Кровавое дело,7.9
12.078,1969-09-10,Армия Теней,7.9
19.991,1997-08-01,Дети Небес,7.9
9.782,2008-06-10,Дом маленьких кубиков,7.9
11.412,2020-08-21,Надписи на стенах ванной комнаты,7.9
14.135,1957-01-15,Трон Крови,7.9
8.872,1961-01-24,Ночь,8.0
308.844,2022-08-05,Удача,7.9
18.963,2017-05-03,Плохой гений,7.9
25.327,2019-10-10,Близ горизонта,7.9
12.129,1952-10-23,Свет софитов,7.9
4.907,1999-05-12,Tel chi el telùn,7.9
12.047,1994-04-07,Почтальон,7.9
19.376,1963-06-20,Великий побег,7.9
66.921,2009-05-28,Вверх,7.9
32.597,1999-08-06,Шестое чувство,7.9
19.4,1966-12-08,Не оглядывайся... В нас стреляют!,7.9
20.421,2019-07-21,Teen Titans Go! против Teen Titans,7.9
70.162,2021-07-16,Белль,7.9
11.863,1962-10-12,Что же случилось с Бэби Джейн?,7.9
43.275,2021-08-12,Спасение яйца,7.9
21.137,2013-11-01,Далласский клуб покупателей,7.9
11.804,1966-09-08,Битва за Алжир,7.9
23.64,1992-08-07,Непрощённый,7.9
5.451,2007-09-26,Эстомаго: гастрономическая история,7.9
27.695,1995-11-18,Призрак в доспехах,7.9
31.879,2007-06-13,Старикам здесь не место,7.9
10.179,1939-10-19,Мистер Смит едет в Вашингтон,7.9
14.709,2022-01-21,Скрипка моего отца,7.9
42.546,1982-06-25,Бегущий по лезвию,7.9
20.923,2019-02-14,"Мальчик, который обуздал ветер",7.9
23.122,1993-06-11,Парк Юрского периода,7.9
27.146,1984-03-11,Навсикая из Долины Ветров,7.9
33.797,2017-12-20,Величайший шоумен,7.9
128.007,2015-06-09,Наизнанку,7.9
11.988,1994-05-26,Жить,7.9
8.753,1973-12-18,Амаркорд,7.9
20.555,1974-12-15,Молодой Франкенштейн,7.9
39.317,1995-03-14,Храброе сердце,7.9
18.822,2016-07-08,Капитан Фантастик,7.9
23.259,2007-01-05,Писатели свободы,7.9
14.193,1995-04-21,Лекарство,7.9
31.34,1995-07-15,Шепот сердца,7.9
7.2,1926-10-13,Фауст,7.9
86.147,1998-06-18,Мулан,7.9
12.518,1942-03-05,Быть или не быть,7.9
163.068,2021-07-02,Война завтрашнего дня,7.9
10.002,1960-12-22,Две женщины,7.9
11.875,1962-02-16,Ла Жети,7.9
49.127,1981-06-12,Индиана Джонс и искатели утраченного ковчега,7.9
19.42,2020-01-27,Короли Чарм-Сити,7.9
14.432,2019-12-25,Просто милосердие,7.9
35.515,1999-08-06,Железный Гигант,7.9
26.483,1974-06-20,Чайнатаун,7.9
185.745,2001-11-16,Гарри Поттер и философский камень,7.9
11.136,2017-11-17,Кормилец семьи,7.9
16.13,1940-03-23,Ребекка,7.9
17.296,2019-08-28,Настройтесь на любовь!,7.9
8.933,1982-10-01,Винсент,7.9
9.066,1928-09-10,Оператор,7.9
11.023,2019-12-10,Двоюродные братья,7.9
30.132,2019-12-25,Маленькие женщины,7.9
20.179,2013-07-30,Лига справедливости: Парадокс Флэшпойнта,7.9
9.847,1951-06-29,Туз в рукаве,7.9
41.504,1986-07-18,Инопланетяне,7.9
13.48,1993-12-12,Во имя Отца,7.9
12.285,1976-09-01,1900,7.9
14.461,2007-06-27,Персеполь,7.9
121.906,2021-06-17,Лука,7.9
33.871,2013-09-04,Наконец-то!,7.9
60.213,2014-07-30,Стражи Галактики,7.9
13.084,2011-02-15,Разлука,7.9
67.982,2018-08-03,Моя геройская академия: Два героя,7.9
15.763,2019-07-26,Не Чжа,7.9
10.135,1962-09-22,Мама Рома,7.9
25.236,2001-04-25,Амели,7.9
91.627,2016-06-01,Я до тебя,7.9
31.021,2006-12-14,В погоне за счастьем,7.9
38.539,2006-02-23,V значит Вендетта,7.9
15.846,2016-03-11,Синг-стрит,7.9
12.768,1955-08-26,Ночь охотника,7.9
37.242,1995-12-15,Нагревать,7.9
13.081,1962-05-09,Детство Ивана,7.9
8.681,2019-08-30,Невидимая жизнь,7.9
12.166,1987-07-01,Где находится дом моего друга?,7.9
17.46,1953-08-26,Римские каникулы,7.9
7.738,2016-11-23,Внутренние механизмы,7.9
4835.899,2022-09-15,Женщина-король,7.9
4.639,1971-09-17,Рабочий класс попадает в рай,7.9
28.35,1983-05-25,Возвращение джедая,7.9
9.869,2019-10-23,Специальные,7.9
46.782,2014-10-01,Исчезнувшая,7.9
10.635,2011-10-20,Всегда,7.9
91.296,2021-05-15,Чудесный мир: Шанхай – Легенда о Леди Драконе,7.9
16.762,2003-12-29,Токийские крестные отцы,7.9
12.718,2000-06-30,Танцовщица в темноте,7.9
9.755,1927-11-04,Восход солнца: Песнь двух людей,7.9
9.885,2020-01-24,Синди Ла Реджиа,7.9
29.515,2016-11-29,Ла-Ла Лэнд,7.9
9.96,1923-04-01,Безопасность превыше всего!,7.9
12.384,2020-10-02,У тебя всё получится!,7.9
19.998,2016-11-04,Уличный кот по кличке Боб,7.9
19.897,2016-01-01,Шерлок: Отвратительная невеста,7.9
8.544,2000-07-12,Гармонии Веркмейстера,7.9
61.123,2022-06-03,Суетиться,7.9
9.666,1963-02-11,Зимний свет,7.9
62.119,2004-06-25,Дневник,7.9
10.78,1983-05-01,Ностальгия,7.9
98.344,1997-11-18,Титаник,7.9
21.263,2013-03-28,Мы — дворяне,7.9
11.43,1985-11-23,Тампопо,7.9
19.587,1964-01-18,Горстка долларов,7.9
9.87,1973-05-09,Бумажная Луна,7.9
12.799,1955-01-29,Диаболический,7.9
30.562,2004-04-16,Убить Билла: Том 2,7.9
21.097,1959-03-17,Рио Браво,7.9
9.904,1955-01-09,Ордет,7.9
12.433,1934-02-22,Это случилось однажды ночью.,7.9
12.694,2016-02-11,Совершенные незнакомцы,7.9
9.998,1952-01-20,Умберто Д.,7.9
18.462,1996-03-08,Фарго,7.9
12.124,2017-10-25,"Увидимся там, наверху!",7.9
14.258,2009-04-07,Скуби-Ду! и самурайский меч,7.9
26.204,2014-11-26,Теория всего,7.9
8.202,2021-03-03,Снова мы,7.9
8.542,2012-02-10,Луна,7.9
21.1,1986-08-08,Останься со мной,7.9
14.713,1993-01-01,"Прощай, моя наложница",7.9
20.101,2017-07-15,No Game No Life: Zero,7.9
10.495,1973-05-24,День за ночью,7.9
11.696,1967-10-25,Самоурай,7.9
7.531,1948-04-28,Письмо от неизвестной женщины,7.9
20.522,2021-10-28,Тень в моих глазах,7.9
33.018,2013-12-18,Ее,7.9
8.575,1968-02-02,Алмазная Рука,7.9
17.743,2008-09-23,Скуби-Ду! и Король гоблинов,7.9
14.355,1972-03-20,Солярис,7.9
13.55,2018-06-02,Воры в магазинах,7.9
14.394,2018-03-23,Остров Догс,7.9
31.241,2018-12-14,Dragon Ball Super: Броли,7.9
14.225,1976-11-14,Сеть,7.9
10.518,1959-07-01,Анатомия убийства,7.9
368.522,2022-08-02,Добыча,7.9
11.415,2021-09-22,Вершина богов,7.9
5.883,2018-12-27,Minha Vida em Marte,7.9
8.465,2017-01-18,Мешок с шариками,7.9
12.727,2015-07-17,Баджранги Бхайяан,7.9
10.84,1955-04-13,Рифифи,7.9
24.749,1990-03-30,Танцы с волками,7.9
53.404,2019-11-27,Ножи наголо,7.9
8.304,2013-01-18,Хлыст,7.9
873.986,2022-11-09,Страна Снов,7.8
58.419,2008-05-07,Мальчик в полосатой пижаме,7.9
32.034,2001-12-11,Прекрасный разум,7.9
16.125,2002-09-14,Актриса тысячелетия,7.9
6.372,1981-12-23,Маркиз де Грилло,7.9
193.753,2022-06-22,Черный телефон,7.8
10.975,1969-02-26,З,7.8
27.153,2009-06-26,Евангелион: 2.0. Вы не можете (не) продвинуться вперёд.,7.8
6.884,2015-09-08,Не будь плохим,7.8
92.205,2014-12-06,Последний: Наруто (фильм),7.8
13.011,2009-02-09,Мэри и Макс,7.8
29.351,1998-03-06,Большой Лебовски,7.8
15.038,2014-08-21,Дикие истории,7.8
11.018,2011-10-06,Полиссе,7.8
11.583,1947-09-26,Месье Верду,7.8
14.504,2000-09-20,Йи Йи,7.8
41.822,1989-07-29,Служба доставки Кики,7.8
11.369,2008-09-13,Отправления,7.8
14.567,1940-03-15,Гроздья гнева,7.8
27.174,2007-08-31,Death Note Relight 1: Visions of a God,7.8
39.153,2020-06-30,"Мы, медведи: Фильм",7.8
10.324,2014-10-25,Праздник,7.8
37.597,2011-09-09,Воин,7.8
22.776,1973-12-13,Папийон,7.8
8.981,1999-01-01,Малхолланд Драйв.,7.8
90.588,1993-10-09,Кошмар перед Рождеством,7.8
14.805,2000-09-09,Объединенная зона безопасности,7.8
29.964,1959-11-18,Бен-Гур,7.8
91.603,2021-09-08,Дюна,7.8
